number,name,agency,category,billing,service_hours,geographic_scope,alternative_number,description
1999,市民當家熱線 / 縣民服務熱線,各直轄市及縣市政府,市政服務,依各縣市規定,24小時,各縣市在地分流,雙北: 02-2720-8889 / 02-2960-3456；台中: 04-2228-9111；高雄: 07-332-2333,地方市政諮詢、公害噪音通報、道路坑洞路燈故障查報、違規停車檢舉、活動諮詢與市府業務總機轉接。
1922,防疫諮詢通報專線,衛生福利部疾病管制署,衛生醫療,免付費,24小時,全國,0800-001-922,傳染病疫情通報、法定傳染病諮詢、公費疫苗接種資訊、檢疫隔離措施與國際旅遊防疫建議。
1925,安心專線,衛生福利部,心理輔導,免付費,24小時,全國,前身為 0800-788-995,心理協談、情緒支持、憂鬱傾聽、自殺傾向危機干預與心理衛生資源轉介。
1968,高速公路局客服與路況專線,交通部高速公路局,交通路況,市話市內計費/行動依各業者網外資費,24小時,全國國道公路網,(02)2909-6141,國道即時路況查詢、交通事故與障礙物通報、高速公路拖救車服務調派、通行費及 ETC 諮詢。
1980,「張老師」青少年與成人心理輔導專線,財團法人「張老師」基金會,心理輔導,市話市內費率/行動依各業者資費,週一至週六 09:00-21:00 週日 09:00-17:00,全國,各縣市張老師中心市話,青少年生活適應、課業壓力、親子與人際關係、情感困擾與職涯心理輔導諮商。
1995,生命線協談專線,國際生命線台灣總會,心理輔導,市話市內費率/行動依各業者資費,24小時,全國,各縣市生命線協會市話,自殺防治危機處理、憂鬱情緒疏導、家庭失和、婚姻衝突與人生重大創傷協談支援。
1950,全國消費者服務專線,行政院消費者保護處,權益保障,市話市內計費/行動依各業者資費,平日上班時間,全國,各縣市政府消費者服務中心市話,消費爭議諮詢、商品買賣契約糾紛、退換貨權益、詐騙消費救濟與消費申訴流程指引。
1955,勞工諮詢申訴專線 / 外籍移工諮詢專線,勞動部,勞工權益,免付費,24小時,全國,提供中英印尼泰越5語服務,勞基法勞動條件諮詢、勞資爭議申訴、雇主違法扣薪工時過長檢舉、外籍移工生活與工作求助救援。
1966,長照服務專線,衛生福利部,長照福利,前5分鐘免通話費,週一至週五 08:30-12:00 13:30-17:30,全國,各縣市長照中心電話,長照 2.0 申請評估、居家照顧、喘息服務、日間照顧、輔具補助與無障礙環境改善諮詢。
1957,福利諮詢專線,衛生福利部,社會救助,免付費,每日 08:00-22:00,全國,(02)7705-4300,急難紓困救助、低收入戶與中低收入戶生活扶助、育兒津貼、身心障礙補助及弱勢族群社會救助諮詢。
1910,台灣自來水公司客服專線,台灣自來水股份有限公司,民生水電,免付費,24小時,台水供水轄區 (台北市除外),台北市自來水業務請撥 (02)8733-5678,漏水報修、水壓不足、水質異常反應、無預警停水查證、水費帳單及抄表過戶諮詢。
1911,台灣電力公司客服專線,台灣電力股份有限公司,民生水電,免付費,24小時,全國,各區營業處電話,停電通報、電線掉落或變壓器冒煙搶修、供電異常、電費查詢、用電申請與過戶辦理。
1908,公害陳情專線,環境部,環境保護,免付費,24小時,全國,0800-066-666,工廠廢氣廢水偷排、噪音擾民、廢棄物非法棄置、臭異味排放與各類環境公害案件檢舉通報。
1988,經濟部產業振興與紓困輔導專線,經濟部,產業經濟,免付費,平日 08:30-18:30,全國,0800-056-476,中小企業融資貸款、水電減免政策、產業災後復原輔導、商業振興措施與數位轉型諮詢。
1985,國防部軍民諮詢服務專線,國防部,軍務諮詢,免付費,24小時,全國,0800-532-985,常備兵役與替代役徵集諮詢、軍中合法權益保障、官兵申訴案件、軍人退撫福利與部隊管教反映。
1991,報平安語音留言專線 (重大災時啟動),內政部消防署,緊急救難,依災時電信政策公告,重大天災時啟動,全國,網路版報平安留言平台,大規模地震或風災導致災區電信壅塞時提供民眾錄音留言報平安與親友互報行蹤確認安全。
1920,國營臺灣鐵路公司客服簡碼專線,國營臺灣鐵路股份有限公司,交通路況,一般市內通話費率,24小時,全國,0800-765-888 / (02)2191-0096,台鐵列車時刻與票價查詢、退換票諮詢、遺失物協尋、無障礙乘車預約與各項客運服務反映。
1902,台灣中油天然氣緊急通報專線,台灣中油股份有限公司,民生水電,免付費,24小時,全國中油供氣轄區,0800-077-133,瓦斯漏氣通報、天然氣幹管洩漏緊急處置與安全查報。
1905,勞工退休金專線,勞動部勞工保險局,勞工權益,一般市話計費,週一至週五 08:30-17:30,全國,(02)2396-1266,勞工退休金個人專戶查詢、新制/舊制勞退法令諮詢與自願提繳相關問題。
1953,教育部反霸凌專線簡碼,教育部,教育校園,免付費,24小時,全國,0800-088-590,教育部於2022年啟用的1953反霸凌專線簡碼取代舊長碼提供24小時專人接聽與案件管制。
0800-024-111,外籍人士在臺生活諮詢服務熱線,內政部移民署,外僑移民,免付費,24小時中英/平日多語,全國,+886-800-024-111,外籍人士及新住民在台簽證、居留入出境、工作、教育稅務、醫療安全生活全方位多語諮詢。
0800-088-888,防制人口販運檢舉專線,內政部移民署,弱勢保護,免付費,24小時,全國,(02)2321-9685,檢舉強迫勞動、性剝削、人口販運買賣、非法扣留身分證件及各類涉人口買賣犯罪案件。
0800-286-586,檢舉貪瀆專線,法務部廉政署,廉政政風,免付費,24小時,全國,(02)2381-1234,受理公務員索賄受賄、圖利他人、利用職權貪污舞弊、公有工程採購弊端之檢舉。
0800-285-000,食品藥物安全諮詢專線,衛生福利部食品藥物管理署,衛教食藥,免付費,週一至週五 08:00-18:00,全國,(02)2787-8000,食品安全問題諮詢、劣質不法藥品檢舉、醫療器材安全通報與化妝品法規疑問解惑。
0800-030-598,全民健保免付費諮詢專線,衛生福利部中央健康保險署,衛生醫療,免付費 (限市話撥打),週一至週五 08:30-17:30,全國,(02)4128-678,健保加退保流程、健保卡補換發、健保費繳納分期、重大傷病資格與跨區就醫權益諮詢。
0800-011-765,24小時觀光旅遊諮詢專線,交通部觀光署,觀光旅遊,免付費,24小時,全國,(02)2717-3737,台灣各國家風景區旅遊景點推薦、交通轉乘路線指引、合格合法民宿飯店查詢與緊急旅遊求助。
0800-006-006,飛航安全檢舉專線,交通部民用航空局,飛航安全,免付費,24小時,全國,(02)2349-6000,無人機違規黑飛通報、機場禁航區違法施放風箏氣球檢舉、飛航器違規作業危害飛安通報。
0800-000-321,國稅免付費諮詢電話,財政部各區國稅局,稅務諮詢,免付費 (限市話撥打),週一至週五 08:30-12:30 13:30-17:30,全國,各區國稅局代表號,綜合所得稅申報、營利事業所得稅、營業稅發票問題、遺產及贈與稅相關稅務法令諮詢。
0800-777-888,台灣就業通客服專線,勞動部勞動力發展署,就業輔導,免付費,24小時,全國,(02)8995-6000,求職求才就業媒合、青年就業獎勵津貼、中高齡失業再就業輔導、職業訓練課程及失業給付諮詢。
0800-005-599,原住民族法律扶助專線,財團法人法律扶助基金會,法律扶助,免付費,週一至週五 09:00-12:30 13:30-17:00,全國,(02)412-8518,原住民族傳統領域糾紛、傳統獵槍與文化採集官司、一般民刑事官司律師委任補助諮詢。
0800-002-117,動植物防疫檢疫通報專線,農業部動植物防疫檢疫署,農林防疫,免付費,24小時,全國,非洲豬瘟走私肉品檢舉管道,疑似狂犬病、禽流感通報、秋行軍蟲等重大農業害蟲通報、境外走私違禁動植物肉品查報。
0800-057-006,林業署森林保護與盜伐通報專線,農業部林業及自然保育署,生態保育,免付費,24小時,全國各國有林區,通報山火可同步撥打 119,通報山林森林火災、山老鼠盜伐貴重國有林木檢舉、野生動物盜獵與非法獸夾通報。
0800-024-555,毒品防制諮詢專線,法務部/衛生福利部,社會安全,免付費,24小時,全國,各縣市毒品危害防制中心,藥物濫用諮詢、戒毒戒癮求助、美沙冬替代療法資訊、各縣市戒癮社會資源轉介。
